Description	Alu-intron	Alu-nearest_tss	Alu-5kb_outside_upstream	Alu-5kb	L1-intron	L1-nearest_tss	L1-5kb_outside_upstream	L1-5kb
apoptotic process involved in morphogenesis	-1.092417141	-0.22630377	-0.082667427	-1.743340745	-2.746996125	-0.582809223	-0.12362024	-1.51782781
appendage development	-4.58026802	-1.043427596	-0.407712378	-9.381110273	-3.614465654	-4.714776462	-0.713578295	-4.329400284
appendage morphogenesis	-4.254369738	-0.876248831	-0.533568175	-9.740004208	-2.610117025	-3.362559354	-0.564150162	-3.468798609
aromatic compound catabolic process	4.991539621	7.570481637	3.745578035	10.39388679	0.342789575	-0.16302469	-0.029719291	0.003670913
artery development	-1.729013408	-0.538211644	-0.270423213	-4.217975928	-4.30536307	-4.891592344	-2.113713454	-3.530272694
artery morphogenesis	-2.507805025	-1.028674842	-0.56258139	-5.274157761	-3.674886185	-4.83936634	-1.541121035	-3.270086031
ATP biosynthetic process	2.254477517	1.367788574	0.617473189	2.133766348	-0.382957573	-0.549042718	-0.051832324	-0.137917569
ATP metabolic process	4.83496226	4.695656662	2.218248286	7.83104441	-0.100224723	0.020915265	0.112873261	-0.008988452
ATP synthesis coupled electron transport	4.379075934	3.70709591	1.428710055	6.998688853	0.673070021	1.350180263	0.545483463	0.966761908
ATP-dependent chromatin remodeling	2.909840499	2.559637629	2.510743521	2.881698497	0.161904481	-0.02861834	0.118827086	0.285729822
attachment of spindle microtubules to kinetochore	1.532896504	1.689196067	1.049396031	1.601962283	0.017913215	0.058018056	-0.031345711	0.453255374
autonomic nervous system development	-3.136695931	-1.106537717	-0.425697663	-7.156468156	-4.85034239	-2.469351366	-1.103127009	-2.690186829
autophagy	3.477238554	5.048562861	5.222410265	5.972209291	0.521457495	-0.381677	-0.150692638	0.699436563
axis elongation	-1.249930381	-0.060732132	-0.274337519	-1.554150349	-3.272318246	-1.347487307	-0.56241088	-4.508707427
axon development	-3.324483534	-0.057640285	0.219968536	-14.55027681	-19.02513773	-10.15826941	-1.758114102	-16.50071772
axon extension	-0.555582152	0.070379438	0.412717356	-2.480083128	-5.009001054	-1.513174555	-0.321376137	-2.014995447
axon extension involved in axon guidance	-2.702845998	-0.562145169	-0.202171004	-4.959504798	-6.245319513	-2.732056997	-0.815380121	-3.155421001
axon guidance	-5.372709052	-0.490048903	-0.120962207	-15.26582895	-15.79970387	-7.511204836	-1.548678186	-12.09858112
axonal fasciculation	-1.234233261	-0.340576645	-0.066390278	-3.237885682	-2.65495593	-0.701679897	0.004522149	-2.486247204
axonogenesis	-2.625431105	0.002628041	0.289876861	-13.00280426	-18.1633098	-8.986395134	-1.586659505	-14.23662603
B cell proliferation	-1.306802451	-2.545051085	-0.812154456	-2.395505866	0.264252122	0.6989282	-0.015614217	1.232361595
biomineral tissue development	-3.359548236	-1.720383544	-1.417653044	-6.517655377	-0.975059825	-1.479909313	-0.5317412	-1.338443165
blood circulation	-6.145809612	-3.921363962	-2.739073306	-12.52288007	-7.936614725	-5.968799501	-1.366471711	-10.95585899
blood vessel endothelial cell migration	-1.094040471	-0.009086257	0.19234729	-1.049930848	-4.788587635	-3.548814039	-1.276264783	-2.348840352
blood vessel morphogenesis	-6.98429252	-1.05874986	-0.408366907	-8.502895762	-16.32600767	-12.92548171	-5.095789693	-12.62521552
blood vessel remodeling	-0.676295181	-0.166646974	-0.13832009	-0.737585486	-2.110912816	-1.353920694	-0.281815338	-2.067834131
BMP signaling pathway	-1.422869535	-0.14505138	0.02024669	-3.70898263	-1.677164238	-1.998469877	-0.458311124	-3.58936515
bone development	-1.92685748	-0.280932642	-0.182452794	-2.696397302	-7.535120486	-4.714776462	-0.860199337	-6.076750812
bone growth	-1.048212539	-0.538632435	-0.085079263	-1.81152363	-1.345598734	-1.600827268	-0.865669929	-1.952242651
bone mineralization	-2.332194244	-0.855259312	-0.822867109	-4.716939009	-0.916458886	-0.973172077	-0.300472385	-1.861095025
bone morphogenesis	-3.574482263	-1.363324353	-0.47531999	-6.593859099	-5.121648936	-4.269128464	-1.251091365	-3.580042831
bone remodeling	-3.440153555	-1.839208302	-1.81651984	-2.956639342	-0.292386591	-0.000761727	0.062666707	-0.347554566
branching involved in salivary gland morphogenesis	-1.987528296	-0.263895915	-0.311940576	-2.444234558	-3.938609788	-1.721475262	-0.749794387	-1.352896849
branching involved in ureteric bud morphogenesis	-6.965373279	-1.873098927	-0.884683589	-9.801832682	-3.096597691	-2.312257974	-0.555744953	-2.597526271
branching morphogenesis of an epithelial tube	-7.005855821	-1.492523501	-0.817645267	-10.90827714	-9.013737016	-4.931919084	-1.890780449	-7.056033668
C21-steroid hormone biosynthetic process	-1.023989109	-1.039335695	-0.519913855	-1.881562374	-1.660264957	-1.350595544	-1.123025624	-1.765430586
C21-steroid hormone metabolic process	-1.839278348	-2.009123927	-1.481122751	-2.417830336	-0.340925493	-0.133712489	-0.244209334	-0.56209076
calcium ion transmembrane transport	-0.108975389	0.032930142	-0.139735757	-1.431763046	-2.375197126	-3.456068424	-0.401867564	-2.395100062
calcium ion transport	-0.927765495	-0.306899401	-0.498523161	-3.271276629	-2.335036508	-3.058481387	-0.198240976	-3.330306004
calcium-dependent cell-cell adhesion via plasma membrane cell adhesion molecules	-2.519737418	-2.460208523	-0.796935673	-4.054244682	-1.60466056	-0.145978017	-0.122466549	-0.035342371
calcium-mediated signaling	-1.102050195	-0.27543357	-0.024614066	-2.792930135	-1.540136125	-0.880890026	-0.118320577	-1.414755616
camera-type eye development	-3.705525743	-0.848238415	-0.210224884	-7.504984304	-8.613389411	-10.57090414	-2.85956018	-6.268586392
camera-type eye morphogenesis	-3.20407005	-1.001491286	-0.721410434	-6.559140817	-6.366263431	-5.841408312	-1.71282483	-3.855847306
cAMP biosynthetic process	-3.316954163	-1.302949569	-0.614305459	-4.194339251	-1.52210035	-0.081781693	0.128547103	-1.1951421
cAMP metabolic process	-3.774366415	-1.954925366	-1.103417782	-6.286227327	-1.431217866	-0.214111479	0.099499519	-2.1148161
canonical Wnt signaling pathway	-0.224594449	0.74297771	1.051634077	-0.705103703	-3.619676963	-3.529546888	-1.365560241	-4.201959964
cardiac atrium morphogenesis	-1.390777169	-0.935434245	-0.564327447	-3.218390686	-1.717744367	-0.755286367	-0.188387242	-1.00728915
cardiac chamber development	-2.184687681	-0.191751554	0.03592388	-6.6456415	-5.138017923	-5.624482518	-2.521816617	-4.221123457
cardiac chamber morphogenesis	-4.084987309	-0.876248831	-0.229656383	-8.869217113	-5.117712118	-4.75247032	-1.782403615	-4.398578055
cardiac conduction	-0.419676555	-0.228083472	-0.465936101	-2.836658738	-6.209947031	-8.5202242	-2.271764609	-7.930088774
cardiac epithelial to mesenchymal transition	-2.345525737	-0.94086956	-0.727674167	-3.618825826	-2.298338386	-1.511521923	-0.487107341	-1.317598141
cardiac muscle cell differentiation	-0.9527218	-0.085942466	0.042631309	-2.116803207	-3.299401699	-1.77797693	-0.5317412	-1.825587956
cardiac muscle cell proliferation	-2.369198142	-0.514299771	-0.190186367	-4.951234686	-2.3992602	-0.940139722	-0.39618419	-1.674716461
cardiac muscle contraction	-1.88386793	-0.734897192	-0.616464685	-3.488587188	-1.183982387	-2.325985467	-0.476473059	-4.913482957
cardiac muscle hypertrophy	-0.583650241	-0.003708204	0.061357843	-1.435913453	-2.879247917	-2.376183743	-0.999263559	-1.565046709
cardiac muscle tissue development	-2.689258697	-0.355200541	-0.078763098	-5.123014052	-4.878779566	-4.146424445	-1.309275132	-4.068687049
cardiac muscle tissue growth	-1.851055671	-0.57055267	-0.68485888	-3.643578296	-4.010477862	-1.934886869	-0.516748795	-2.934037029
cardiac muscle tissue morphogenesis	-1.734605326	-0.906225678	-0.796676586	-4.029223209	-3.634639255	-2.48350254	-0.739061148	-3.0188355
cardiac right ventricle morphogenesis	-1.32033233	-0.098829064	-0.128524491	-3.737068404	-0.910411425	-0.197038555	0.029805896	-1.815262988
cardiac septum development	-1.548395709	-0.024394223	0.045880302	-4.655388092	-2.454388311	-3.602867977	-1.928571442	-2.650735372
cardiac septum morphogenesis	-4.418824221	-0.611903994	-0.225246199	-8.60690454	-2.476322856	-2.692072269	-1.365560241	-2.802366335
cardiac ventricle development	-1.342825991	-0.136371826	-0.055598711	-4.210077229	-4.237095875	-4.781680145	-2.139190571	-4.046865818
cardiac ventricle morphogenesis	-1.651626993	-0.574140975	-0.248665822	-4.25675126	-3.942831665	-2.747176708	-0.439343698	-4.138039087
cardiocyte differentiation	-0.910674424	0.027894757	0.21969679	-2.568866704	-4.133304929	-2.149277463	-0.863161953	-3.149427493
cartilage condensation	-1.471726336	-1.534741256	-0.901029295	-4.806803481	-1.275760047	-0.616136794	-0.04580428	-1.231576069
cartilage development	-11.45782715	-7.051749167	-3.178948266	-18.33147757	-10.9185347	-7.635325188	-2.741752473	-10.27221424
cartilage development involved in endochondral bone morphogenesis	-0.917566331	-0.740930026	-0.100368066	-2.054131081	-2.79524115	-3.361475614	-1.355297659	-3.488350947
catecholamine secretion	-2.884846274	-2.725721989	-0.97463044	-4.390415737	-0.451476333	0.018744516	0.115618656	-0.685356131
catecholamine transport	-2.980545932	-3.376161838	-1.907149174	-3.831418806	-0.643707974	-0.020676839	0.17430388	-0.727805727
"CD8-positive, alpha-beta T cell activation"	-3.510806095	-2.272238031	-1.727995083	-2.572869153	0.020311365	0.195668133	0.152855697	-0.395623865
cell aggregation	-1.471726336	-1.534741256	-0.901029295	-4.806803481	-1.275760047	-0.616136794	-0.04580428	-1.231576069
cell chemotaxis	-1.046455627	-1.291616311	-0.817645267	-1.099801145	-1.815806939	-1.564877435	-1.621728985	-0.301338376
cell communication by electrical coupling	-0.555582152	-0.166643666	-0.187219201	-1.685981436	-1.427548572	-2.660441448	-0.594699946	-2.503607711
cell communication by electrical coupling involved in cardiac conduction	-0.377104953	-0.050380655	-0.070441771	-1.332681742	-1.480005764	-2.161283471	-0.487698045	-2.364596096
cell communication involved in cardiac conduction	-0.285461754	-0.100832262	-0.348597006	-1.315797791	-1.331764108	-2.331573188	-0.720304485	-2.652959091
cell cycle checkpoint	3.127937924	3.273142447	2.389322481	4.029609386	1.502108991	0.50027012	0.513490687	0.794096364
cell cycle G1/S phase transition	0.878127043	2.717999432	1.720981265	1.635322033	0.291579541	-0.29882822	-0.109387976	0.083998598
cell cycle G2/M phase transition	2.391158315	3.806337688	3.327811978	3.482819424	0.604087351	-0.093504739	-0.009927579	0.410351665
cell cycle phase transition	3.127767146	7.11476419	5.693482951	4.945600981	0.571213291	-0.705535091	-0.258843061	0.387851928
cell differentiation in spinal cord	-3.127937924	-1.264342227	-0.267617913	-8.741519715	-2.081773339	-0.982140348	-0.162870065	-3.114573937
cell differentiation involved in kidney development	-3.395600011	-0.259820517	0.008341395	-5.935610355	-5.689899274	-2.76715638	-1.348238547	-4.250216485
cell differentiation involved in metanephros development	-3.553295631	-0.983429632	-0.466798371	-4.502700806	-2.676916883	-2.364965654	-1.142833037	-1.666956825
cell fate commitment	-10.31062381	-2.748378018	-0.616464685	-24.40122988	-10.34021957	-6.181440322	-1.49459686	-12.79133182
cell fate determination	-6.45010965	-0.738028058	-0.0047518	-8.932903687	-6.51006483	-1.085294428	-0.401394656	-3.604885568
cell fate specification	-2.144241582	-0.710590979	-0.344136838	-9.937114122	-1.457445517	-1.075872	-0.534967449	-3.661115321
cell growth	-0.726402524	0.383214905	0.628975393	-1.104113327	-9.632686058	-4.995121659	-0.18961467	-6.584506577
cell junction assembly	0.118037792	1.826573214	1.656473708	-0.172046164	-3.157856558	-5.179382732	-1.061798965	-1.817524076
cell junction organization	0.007954509	2.309378328	1.900417488	-0.430298945	-4.994686942	-5.314145915	-1.100695952	-3.642504017
cell migration involved in sprouting angiogenesis	-0.895922105	-0.106584464	0.119140793	-1.432971328	-3.524958651	-2.624649256	-1.699855539	-1.882018622
cell morphogenesis involved in neuron differentiation	-3.110703245	-0.019946491	0.352854505	-16.21865098	-19.69734193	-10.68318354	-1.786065366	-17.37926458
cell-cell adhesion via plasma-membrane adhesion molecules	-6.497943095	-2.188104545	-0.352338072	-14.70041247	-4.287442158	-0.480110556	-0.372775231	-4.457098985
cell-cell junction assembly	0.568144938	1.410941346	1.498030628	0.031596716	-0.578677969	-2.108765704	-0.713578295	-0.503742471
cell-cell junction organization	0.040467196	2.477674026	2.024369121	-0.411623055	-3.071188946	-3.474978809	-0.532784647	-2.588790469
cell-cell signaling by wnt	-0.263162562	1.456129227	2.443977761	-1.081985661	-7.908318495	-7.099380034	-2.531860298	-7.0094172
cell-substrate adhesion	-1.092417141	0.158330878	0.341550119	-1.883587262	-4.566612999	-3.320861334	-0.313016483	-2.263008953
cell-substrate junction assembly	-0.283670063	0.216366573	0.203896696	-0.550826637	-1.909551049	-3.180757364	-0.182140036	-1.358029918
cellular defense response	-0.408234443	-0.803462026	-0.316402152	-0.078511927	3.375406746	2.557427891	0.657362051	2.728405417
cellular glucuronidation	-12.5743761	-13.69349654	-10.08463183	-7.667550187	3.789029044	7.09887182	0.644673041	7.170317616
cellular hormone metabolic process	-3.065327105	-3.055555576	-6.781998162	-2.232334068	0.318087712	0.290592543	0.027654492	0.473373241
cellular nitrogen compound catabolic process	6.208233863	8.500521732	3.802275505	11.54642459	0.345658585	-0.27273433	-0.081233011	-0.045988943
cellular potassium ion transport	-6.450443203	-4.695196662	-4.290924196	-9.360056163	-2.955524294	-5.377095781	-1.154548448	-7.514393351
cellular respiration	2.909342826	2.891326305	1.042251853	5.487146336	0.239074587	0.901466364	0.742811155	0.16776747
cellular response to acid chemical	-1.361421857	-0.489419255	-0.124021851	-2.353546758	-5.909827215	-1.67965069	-0.545334453	-3.015456571
cellular response to BMP stimulus	-1.794419135	-0.235932504	-0.058146601	-4.008139354	-1.999281284	-2.356421565	-0.463437158	-4.197089296
cellular response to decreased oxygen levels	0.321640765	1.475934833	1.503801629	0.557132293	-2.455806323	-2.551566115	-1.262476871	-3.929227238
cellular response to fibroblast growth factor stimulus	-0.782629441	0.238601737	0.10386505	-1.016336192	-3.865504926	-2.456479574	-1.283922021	-4.601562313
cellular response to gonadotropin stimulus	-0.669561994	-0.098162598	-0.214688258	-0.598618359	-3.524471114	-1.307904768	-1.631575401	-2.704472067
cellular response to heat	1.938400059	2.672545907	2.070149613	2.309148624	0.172972912	-0.064353658	-0.147707402	0.025526042
cellular response to hypoxia	0.217299454	1.332679492	1.501389512	0.508054644	-2.424834411	-2.331814495	-1.116108866	-3.931912739
cellular response to lipid	-0.488083031	0.205817252	1.032321555	-2.174806597	-4.509773337	-1.271757433	-0.226933684	-4.951524727
cellular response to organic cyclic compound	-0.030533516	0.913442454	2.406393853	-0.929073717	-3.763063971	-2.855177776	-0.806168092	-3.777629439
cellular response to organonitrogen compound	-0.043572734	0.674511847	2.025035897	-0.289762029	-6.328589276	-3.764540602	-0.291145031	-4.57248904
cellular response to oxygen levels	0.262939382	1.32336919	1.360105129	0.448964617	-2.243852896	-2.315931147	-1.023434556	-3.19658362
cellular response to peptide	-0.004848861	0.782949842	2.894281635	0.022593778	-2.031981132	-1.351915508	-0.016740909	-2.014995447
cellular response to peptide hormone stimulus	0.059690778	0.641691123	2.464068442	0.060805254	-1.696134011	-1.082421462	0.023138126	-1.893517585
cellular response to retinoic acid	-1.070090601	-0.488271922	-0.094042502	-3.408222734	-4.034769916	-2.49695074	-1.098094796	-2.807865495
cellular response to transforming growth factor beta stimulus	-0.392754986	0.186088681	0.219968536	-1.092729065	-2.075322445	-2.929831481	-0.561335274	-1.64081067
cellular response to vascular endothelial growth factor stimulus	-1.481784449	-0.646226374	-0.135358773	-1.94350709	-3.942831665	-4.073339703	-0.920139374	-4.103587345
cellular response to xenobiotic stimulus	-7.985578682	-5.679741611	-5.840620708	-2.329614161	3.638640897	3.848332395	0.789283477	3.019797196
central nervous system neuron development	-1.659926875	-0.166989395	-0.080612961	-4.531567892	-3.145971222	-0.424033405	-0.024706724	-3.872470637
central nervous system neuron differentiation	-6.35289188	-1.171978692	-0.161119931	-18.24555718	-6.776400247	-2.525451089	-0.229081361	-10.4063805
central nervous system projection neuron axonogenesis	-0.533547422	0.053542065	0.061063178	-2.116133783	-4.237776935	-0.804521597	-0.189506406	-3.234759462
centriole assembly	0.107381756	0.026303854	-0.060391292	0.116128805	2.084199246	2.073585067	0.226933684	2.264283363
centriole replication	0.176786694	0.067152005	-0.060391292	0.218234029	2.220884621	2.064341821	0.226933684	2.544169005
centromere complex assembly	1.127923775	0.645979331	0.392439972	1.492689271	2.356646491	1.946876282	0.49996595	2.409967036
centrosome cycle	0.117808591	0.191614085	0.271006795	0.511361226	2.683136932	3.060939569	1.142790867	2.687518077
centrosome duplication	0.161957184	0.138668447	0.108261772	0.412372389	2.30471795	2.684848725	1.135481469	2.616234917
centrosome organization	0.444666433	0.683454538	0.513178705	1.453111307	2.181732225	2.396019273	0.983866013	2.498119267
cGMP metabolic process	-4.057763137	-1.881973259	-1.729699374	-3.008401174	-1.038090044	-1.741315918	-0.253022052	-2.463180892
"chemical synaptic transmission, postsynaptic"	-2.209310452	-0.537776291	-0.155262993	-4.25165516	-1.608679848	-1.355775417	-0.284427895	-3.613011647
chemokine-mediated signaling pathway	-0.771688485	-6.699634351	-3.21363865	-2.777526309	-0.21318665	0.53472838	-0.080204301	0.73848425
chloride transmembrane transport	-6.306892816	-5.11480507	-4.696509869	-4.60864358	-0.219817151	-0.391302959	0.355496412	-0.28815732
chloride transport	-5.579273422	-4.362748927	-3.963613853	-4.145150034	-0.170433852	-0.357763739	0.458519837	-0.393497108
chondrocyte development	-0.731156	-0.335467523	-0.185282531	-3.137008473	-2.370826242	-1.595259037	-0.848527019	-0.62938308
chondrocyte differentiation	-4.47700752	-2.390951074	-1.833778327	-9.823494589	-9.022626584	-5.85412414	-3.594159848	-6.951434675
chromatin remodeling	2.989526724	4.142874627	3.501280992	2.671860064	-0.111150991	-0.497990596	-0.130103952	-0.002894286
chromatin remodeling at centromere	0.933047721	0.540755235	0.334946555	1.452017359	2.439594827	1.33732745	0.50248429	1.961159348
chromatin silencing	2.299697325	1.826141508	2.217351496	2.58866525	0.110518299	0.22720244	-0.042885291	0.214132719
chromosome segregation	7.39931811	10.46972234	7.181462886	10.33901835	4.596618905	0.967335913	0.736162112	2.582406609
circadian sleep/wake cycle	-1.67619817	-1.612946348	-0.629639456	-1.314784566	0.018978846	0.051262355	0.023594758	0.008267549
circadian sleep/wake cycle process	-1.770217121	-1.685861074	-0.852411678	-1.501499503	-0.010825217	0.069116773	0.042710863	-0.042860463
circulatory system process	-6.246830606	-3.953974245	-2.748266446	-12.61110617	-7.701028184	-5.728352428	-1.265170777	-11.0777406
cochlea development	-3.221512573	-0.98868628	-0.745529431	-4.917211156	-2.625094337	-1.221985612	-0.092103766	-3.918646121
cochlea morphogenesis	-1.666051609	-0.313576589	-0.218638528	-1.622410734	-1.78482354	-0.772072139	-0.005847571	-2.982254264
coenzyme biosynthetic process	1.46570631	1.489975585	0.212573425	2.70849785	0.302457315	-0.355577631	-0.138395024	0.174288649
cofactor biosynthetic process	1.599769258	1.494821554	0.136469757	3.184621273	0.461290261	-0.128308101	-0.086351696	0.247657862
cognition	-2.478020695	-0.812781473	-0.649356802	-5.746235086	-2.957521934	-1.122436781	-0.29693845	-2.463180892
collagen biosynthetic process	-1.657189406	-1.051758517	-0.655579591	-2.00950805	-1.050327593	-0.641062456	-0.122466549	-1.853322765
collagen catabolic process	-7.588058864	-4.770184309	-3.913463477	-8.096155617	-3.934453316	-1.363717114	-0.798811995	-3.936595734
collagen fibril organization	-2.759379903	-2.620458436	-2.06402556	-3.626281297	-1.080326786	-0.747001713	-0.56241088	-0.90215919
collagen metabolic process	-7.273759456	-4.161365971	-3.16456579	-6.563237874	-4.517750542	-2.001698605	-0.815380121	-5.326670848
columnar/cuboidal epithelial cell development	-1.247489312	-0.153073041	0.192561825	-1.483700166	-0.925653751	-1.341850704	-0.096063962	-1.435281754
columnar/cuboidal epithelial cell differentiation	-5.440874764	-1.189615925	-0.077212829	-6.333071427	-3.989652007	-3.057621206	-0.401394656	-4.225138521
complement activation	-1.771280451	-3.127323165	-2.21260859	-0.556703874	0.135907583	-0.029459844	0.230475109	0.141978414
connective tissue development	-13.1788221	-7.735897238	-3.350872634	-21.55719761	-13.15789455	-7.635325188	-2.457487405	-12.16032507
cotranslational protein targeting to membrane	4.900167765	4.657790184	0.985124573	8.950788032	-0.099825256	-0.27688474	-0.18961467	-0.185476879
cranial nerve development	-4.64530008	-1.034325864	-0.403769599	-7.548701719	-5.888764565	-2.028500818	-0.384079086	-4.500134966
cranial nerve morphogenesis	-3.832015515	-0.701843714	-0.226241504	-5.192673082	-6.486994947	-2.441493201	-0.566471669	-3.370631917
cranial skeletal system development	-1.034093988	-0.039321214	0.01203904	-2.710531504	-4.769401847	-1.468695354	-0.350863977	-2.007808365
cyclic nucleotide biosynthetic process	-4.474164549	-2.057852292	-1.226698746	-4.588809325	-1.364892517	-0.25291187	0.118320577	-2.127378725
cyclic nucleotide metabolic process	-5.616209652	-2.543348958	-1.629053096	-7.322816914	-1.90758287	-0.78938174	0.004522149	-3.659382048
cyclic purine nucleotide metabolic process	-5.012772674	-2.364569824	-1.226698746	-5.189822825	-1.643528951	-0.317698838	0.118320577	-2.218723739
cyclic-nucleotide-mediated signaling	-1.588396775	-0.84454411	-0.550776225	-3.354450732	-0.633510006	-1.122242316	-0.118320577	-2.938954385
cytokine secretion	-2.639669385	-2.628519161	-2.117705996	-2.43895539	0.027417353	-0.281619257	-1.414541409	-0.079223975
cytokinesis	1.286265157	1.780896744	1.536439714	1.406458526	0.095077773	-0.02747393	-0.396573763	0.145759169
cytoplasmic translation	1.985506261	2.460896102	2.714972062	2.593348567	-0.06726167	-0.052110951	-0.128298688	0.022068258
cytosolic transport	1.802261884	2.587320888	3.24201073	1.511695925	0.68006743	-0.005642715	0.013331827	0.689359532
defense response to bacterium	-1.099799679	-4.143432172	-2.894281635	-0.982945296	2.955524294	6.64580783	0.943207949	4.964781961
defense response to fungus	-0.421727993	-2.189127047	-1.878541743	-0.834920014	1.379780669	0.350502315	-0.061518351	0.842037956
defense response to other organism	-0.28823277	-1.299086992	-0.970555269	0.069745006	3.979015749	6.894000265	0.793396441	6.770775109
defense response to virus	0.167835415	0.107895137	0.136239678	1.051567888	1.520323016	1.480135338	0.126093059	3.116793846
dendrite development	-0.12460873	0.62456617	1.238071935	-3.132249552	-3.674886185	-2.926425369	-0.230475109	-3.433225844
dendrite morphogenesis	-0.50559673	0.125172934	0.634363082	-3.980623531	-3.583511857	-2.07585761	-0.297236346	-3.487568669
dendritic spine development	-0.002998726	0.208622603	0.376030702	-2.154894613	-1.519240577	-2.08380696	-0.142190562	-2.142133193
dendritic spine morphogenesis	-0.309416911	-0.027390414	0.158997249	-3.943136906	-1.834197308	-1.437893899	-0.207902647	-2.030839332
dendritic spine organization	-0.205837851	0.064031306	0.346143021	-2.7441945	-2.30471795	-1.601112307	-0.244209334	-2.848863105
detection of chemical stimulus	-3.276097215	-176.7133474	-109.2963933	-48.23921978	0.486378805	157.0901084	26.59100592	71.32590659
detection of chemical stimulus involved in sensory perception	-1.423192051	-189.2551184	-117.5229025	-45.44683255	0.867884732	171.394774	28.39045745	79.82412409
detection of chemical stimulus involved in sensory perception of bitter taste	-0.604089359	-9.398995804	-6.034685521	-3.600905709	-0.042355951	3.391958852	0.357467908	1.043372931
detection of chemical stimulus involved in sensory perception of taste	-0.322001808	-7.298569699	-5.357570015	-2.644816174	-0.039259892	2.782256081	0.174323975	1.063250778
detection of stimulus involved in sensory perception	-2.117658788	-161.4056275	-103.6127995	-45.08306367	-0.162001408	143.4252618	22.58155214	67.90538847
development of primary sexual characteristics	-1.705620696	-0.945727499	-0.096061207	-3.39396361	-1.306442964	-0.985664481	-0.070315061	-1.93356545
