Geneset.Type	Geneset.ID	Description	P.value	FDR	Effect	Odds.Ratio	Status	N.Geneset.Genes	N.Geneset.Peak.Genes	Geneset.Avg.Gene.Length	Geneset.Peak.Genes
Gene Ontology Biological Process	GO:0045776	negative regulation of blood pressure	0.00275590513826935	0.030975413090047	0.981726080906958	2.66905928044164	enriched	43	22	132578.348837209	1268, 1392, 1813, 18, 659, 1814, 1816, 2837, 2865, 4842, 4843, 4846, 4878, 4923, 5020, 5465, 5724, 6648, 7349, 7424, 9370, 10911
Gene Ontology Biological Process	GO:0072522	purine-containing compound biosynthetic process	0.00280384391388908	0.0313775070536958	0.447217644168886	1.56395464785714	enriched	259	79	145384.799227799	114, 150, 272, 1392, 1812, 2587, 116, 801, 1394, 1813, 1906, 2771, 2774, 2977, 4860, 5138, 5634, 5744, 7114, 25902, 51000, 107, 108, 117, 132, 135, 204, 262, 333, 498, 509, 514, 535, 1329, 1814, 1816, 2023, 2185, 2550, 2692, 2766, 2912, 2913, 2917, 2918, 2986, 3208, 3351, 3973, 4157, 4159, 4160, 4830, 4842, 4843, 4846, 4878, 4879, 4988, 5739, 5894, 6019, 6470, 7040, 7077, 7349, 7432, 9551, 9568, 10165, 10266, 10632, 10891, 10900, 23394, 51422, 55022, 122876, 165140
Gene Ontology Biological Process	GO:0046390	ribose phosphate biosynthetic process	0.00281463194234136	0.0314050600659235	0.447611793838497	1.56457120156412	enriched	260	76	141953.457692308	114, 150, 272, 1392, 1812, 2587, 116, 801, 1394, 1813, 1906, 2771, 2774, 2977, 5138, 5634, 5744, 7114, 51000, 107, 108, 117, 132, 135, 204, 333, 498, 509, 514, 535, 1329, 1503, 1814, 1816, 2023, 2185, 2550, 2692, 2912, 2913, 2917, 2918, 2986, 3208, 3351, 3973, 4157, 4159, 4160, 4830, 4842, 4843, 4846, 4878, 4879, 4988, 5739, 5894, 6019, 7040, 7077, 7349, 7432, 9551, 9568, 10165, 10266, 10632, 10891, 10900, 23394, 51422, 55022, 122876, 151531, 165140
Gene Ontology Biological Process	GO:0045686	negative regulation of glial cell differentiation	0.002818480870425	0.0314050600659235	1.25630025387314	3.51240242134205	enriched	23	12	280864.47826087	1600, 3280, 1499, 3398, 4916, 7101, 1814, 3400, 4851, 9682, 11221, 79727
Gene Ontology Biological Process	GO:1903859	regulation of dendrite extension	0.00282889103152398	0.031453122481966	1.33487213595408	3.79951009462525	enriched	20	7	300316.3	127833, 9699, 22999, 23025, 6860, 79594, 151835
Gene Ontology Biological Process	GO:0016050	vesicle organization	0.00283656063535109	0.0314705727264005	0.379338736189302	1.4613179531903	enriched	371	108	124574.264150943	22895, 127833, 161514, 3638, 23025, 6504, 6616, 8618, 8943, 9066, 9919, 10015, 10451, 23329, 25771, 29911, 54732, 79156, 129049, 148281, 203062, 255928, 282991, 399979, 164, 301, 356, 1075, 2060, 2153, 2647, 2801, 2890, 2901, 3799, 5537, 5552, 5798, 5990, 6386, 6396, 6642, 6643, 6843, 6855, 6860, 6861, 8291, 8546, 8615, 8675, 8676, 8766, 8867, 8976, 9525, 9570, 9632, 9779, 9798, 9847, 9882, 9910, 10016, 10228, 10254, 10396, 10652, 10802, 10959, 10972, 11196, 23102, 23216, 23256, 23325, 23355, 23637, 26052, 26984, 27095, 27131, 27243, 29916, 51128, 54734, 54874, 55014, 55330, 55357, 55361, 57586, 59349, 63971, 64083, 64145, 64753, 80208, 83696, 84313, 89781, 90678, 91782, 114088, 128866, 143425, 254122, 282679
Gene Ontology Biological Process	GO:0015874	norepinephrine transport	0.00327023254278526	0.035518167764693	1.34807825927085	3.85001967728925	enriched	20	9	138626.3	150, 1392, 3745, 11255, 135, 152, 2865, 5020, 6530
Gene Ontology Biological Process	GO:0071242	cellular response to ammonium ion	0.00328278925884588	0.0355796424083737	0.837448894308873	2.31046521101879	enriched	58	24	200208.534482759	1392, 1812, 8851, 1132, 2554, 2562, 2566, 2771, 3184, 468, 836, 840, 1129, 1137, 1141, 2782, 3066, 3747, 4988, 5724, 6001, 23236, 85397, 116372
Gene Ontology Biological Process	GO:0009259	ribonucleotide metabolic process	0.00329461775527309	0.0356157018534157	0.322310602820799	1.38031343862951	enriched	528	152	134709.176136364	114, 150, 491, 272, 863, 1392, 1812, 2587, 5143, 5214, 6095, 10243, 54205, 54541, 65220, 116, 801, 1113, 1394, 1740, 1813, 1906, 2771, 2774, 2977, 4698, 4724, 5138, 5144, 5315, 5634, 5744, 7114, 7386, 9759, 23746, 51000, 107, 108, 117, 132, 135, 204, 205, 333, 498, 509, 514, 523, 525, 526, 535, 637, 669, 1329, 1345, 1351, 1503, 1814, 1816, 2023, 2185, 2550, 2597, 2692, 2912, 2913, 2917, 2918, 2986, 3208, 3351, 3354, 3356, 3692, 3939, 3973, 4157, 4159, 4160, 4436, 4697, 4718, 4726, 4731, 4830, 4842, 4843, 4846, 4878, 4879, 4967, 4988, 5141, 5142, 5151, 5158, 5167, 5208, 5209, 5230, 5465, 5571, 5598, 5739, 5894, 6019, 6392, 7040, 7057, 7077, 7349, 7432, 9377, 9551, 9568, 9583, 10165, 10266, 10399, 10632, 10891, 10900, 10975, 11163, 11165, 11315, 23394, 23513, 25830, 27031, 27089, 27115, 27304, 51079, 51103, 51422, 51548, 54583, 55022, 55753, 64087, 64802, 79718, 79736, 90480, 93974, 122876, 151531, 163747, 165140, 374291
Gene Ontology Biological Process	GO:0046184	aldehyde biosynthetic process	0.00334803257246473	0.0360594990424751	1.51873310128884	4.56643631667094	enriched	15	10	149780.333333333	1585, 5978, 54361, 650, 1584, 7086, 8566, 8912, 27122, 55818
Gene Ontology Biological Process	GO:0030516	regulation of axon extension	0.00338442183122053	0.0362245481893501	0.733473419462203	2.08230076510107	enriched	76	31	205138.973684211	7143, 5361, 10439, 1002, 1808, 3084, 4897, 8851, 2932, 4916, 5458, 5802, 9423, 57611, 91584, 659, 3897, 4131, 5362, 6049, 7473, 8482, 8766, 22902, 23394, 29882, 57142, 65078, 134430, 150465, 343472
Gene Ontology Biological Process	GO:0006163	purine nucleotide metabolic process	0.00345669180870632	0.036693565928222	0.320194203271074	1.37739523302328	enriched	529	152	137315.865784499	114, 150, 491, 272, 863, 1392, 1812, 2587, 5143, 5214, 6095, 10243, 54205, 54541, 65220, 116, 801, 1113, 1394, 1740, 1813, 1906, 2272, 2771, 2774, 2977, 4698, 4724, 4860, 5138, 5144, 5315, 5634, 5744, 7114, 7386, 9759, 23746, 51000, 107, 108, 117, 132, 135, 204, 205, 333, 498, 509, 514, 523, 525, 526, 535, 637, 669, 1329, 1345, 1351, 1814, 1816, 2023, 2185, 2550, 2597, 2692, 2912, 2913, 2917, 2918, 2986, 3208, 3351, 3354, 3356, 3692, 3939, 3973, 4157, 4159, 4160, 4436, 4697, 4718, 4726, 4731, 4830, 4842, 4843, 4846, 4878, 4879, 4967, 4988, 5141, 5142, 5151, 5158, 5167, 5208, 5209, 5230, 5465, 5571, 5598, 5739, 5894, 6019, 6392, 7040, 7057, 7077, 7349, 7432, 9377, 9551, 9568, 10165, 10266, 10399, 10632, 10891, 10900, 10975, 11163, 11165, 11315, 23394, 23513, 25830, 27031, 27089, 27115, 27304, 51079, 51103, 51422, 51548, 54583, 55022, 55270, 55753, 64087, 64802, 79718, 79736, 90480, 93974, 122876, 163747, 165140, 374291
Gene Ontology Biological Process	GO:0050856	regulation of T cell receptor signaling pathway	0.00346900747725871	0.0367431434036274	1.08555832195532	2.96109260031494	enriched	34	13	83215.3235294118	7070, 5795, 7430, 53347, 56940, 634, 1236, 3783, 5621, 5777, 6188, 10892, 11006
Gene Ontology Biological Process	GO:0006936	muscle contraction	0.00348814394864239	0.0368002753191126	0.384939605301777	1.46952556720787	enriched	329	98	181104.279635258	150, 3752, 10580, 476, 1812, 1907, 2257, 3778, 56923, 58, 309, 444, 478, 801, 1113, 1756, 1813, 1906, 2668, 2741, 3281, 3363, 5144, 5608, 6093, 6261, 6336, 6546, 6547, 9759, 10021, 255743, 18, 152, 488, 776, 783, 786, 1129, 1141, 1180, 1482, 1613, 1938, 2010, 2023, 2693, 3356, 3736, 3757, 3762, 3768, 3781, 4629, 4638, 4660, 4726, 4842, 4878, 5020, 5025, 5142, 5724, 5743, 6323, 6426, 6548, 6647, 6717, 6752, 6769, 7139, 7171, 7349, 7414, 7871, 8291, 8912, 9172, 9475, 10087, 10627, 10848, 10911, 23336, 23676, 26509, 29119, 30819, 30845, 51196, 51761, 55800, 55959, 79784, 80005, 246329, 283284
Gene Ontology Biological Process	GO:0097164	ammonium ion metabolic process	0.00357675942107276	0.0375050850677121	0.49518905671624	1.64080841558667	enriched	194	54	133707.195876289	491, 1812, 2903, 1103, 1813, 5321, 5580, 9627, 23175, 55512, 114781, 121278, 18, 34, 262, 949, 1119, 1141, 1610, 1621, 1622, 1644, 1814, 2171, 2181, 2629, 3350, 3990, 4128, 4953, 6470, 6531, 6723, 7200, 8605, 10394, 10400, 10908, 11145, 11315, 26002, 51582, 55304, 56848, 57153, 81537, 129642, 137964, 151056, 171586, 204962, 255043, 259230, 376497
Gene Ontology Biological Process	GO:0048265	response to pain	0.00361011568067265	0.0377780665245237	1.12061048312766	3.0667258163088	enriched	30	15	154770.3	774, 1392, 56923, 5649, 1621, 4914, 5582, 5979, 6530, 7057, 7060, 7349, 9815, 64856, 644139
Gene Ontology Biological Process	GO:0050951	sensory perception of temperature stimulus	0.00366772366098473	0.0382404053427647	1.33367417787102	3.79496116605259	enriched	20	10	212985.15	2047, 79054, 114781, 2063, 3356, 4914, 4923, 9311, 10893, 80036
Gene Ontology Biological Process	GO:0001975	response to amphetamine	0.00371618080966616	0.0385750036158304	1.19477843459338	3.30282589746282	enriched	26	15	169977.615384615	2902, 1812, 2903, 801, 1813, 5530, 135, 1621, 1814, 1816, 3066, 5020, 6571, 6647, 84152
Gene Ontology Biological Process	GO:0009582	detection of abiotic stimulus	0.00389651922842513	0.0402042853988905	0.577590973751547	1.7817409956849	enriched	132	37	157598.037878788	40, 2047, 54437, 491, 63895, 125336, 801, 23746, 50508, 79054, 644168, 24, 408, 611, 2063, 2782, 2793, 2986, 3356, 3736, 4836, 4914, 4923, 5158, 6323, 9033, 9311, 9780, 10893, 10988, 51761, 55584, 80036, 84694, 114780, 168507, 222662
Gene Ontology Biological Process	GO:0032228	regulation of synaptic transmission, GABAergic	0.00393615199689285	0.0405321519999405	1.04332378890888	2.83863637980412	enriched	32	11	276295.96875	1268, 266743, 1813, 5728, 594857, 135, 3351, 3799, 6529, 8224, 85445
Gene Ontology Biological Process	GO:0051932	synaptic transmission, GABAergic	0.00396259756662491	0.0407231889366891	0.960823891661628	2.61384911502024	enriched	39	13	265485.333333333	1268, 266743, 1813, 2554, 2566, 5728, 594857, 135, 3351, 3799, 6529, 8224, 85445
Gene Ontology Biological Process	GO:0046580	negative regulation of Ras protein signal transduction	0.00398933518894715	0.0408482199354972	0.928978217759017	2.53192078376319	enriched	43	9	219698.76744186	2889, 10253, 64411, 50861, 4653, 7077, 9912, 10252, 440730
Gene Ontology Biological Process	GO:0044801	single-organism membrane fusion	0.00412320847017501	0.041873292318175	0.486356139012165	1.62637911013238	enriched	196	58	130951.183673469	22895, 127833, 161514, 6504, 6616, 9066, 10451, 23329, 25771, 129049, 148281, 203062, 255928, 390243, 301, 578, 662, 2901, 3799, 6843, 6860, 6861, 8291, 8615, 8675, 8676, 9570, 9779, 9847, 9882, 9910, 10228, 10652, 23102, 23216, 23355, 23637, 26984, 51024, 54332, 54734, 54927, 55014, 55022, 55357, 56947, 57586, 64145, 79594, 79805, 80208, 84749, 114088, 115209, 143425, 152015, 201164, 286753
Gene Ontology Biological Process	GO:0000380	alternative mRNA splicing, via spliceosome	0.00419324744160512	0.0423345666364791	0.91694900522345	2.50164622514686	enriched	47	23	168907.446808511	54715, 6433, 84530, 56853, 60677, 146713, 3191, 8621, 10181, 11189, 1655, 1859, 2332, 3178, 6426, 6431, 6434, 10284, 10521, 23028, 27316, 58517, 84081
Gene Ontology Biological Process	GO:0009214	cyclic nucleotide catabolic process	0.00427367579253823	0.0428114435217568	1.22737391839933	3.41225689495343	enriched	22	10	310623.318181818	5143, 5138, 5144, 5141, 5142, 5151, 5598, 10399, 27115, 54583
Gene Ontology Biological Process	GO:0021987	cerebral cortex development	0.00434377963291188	0.0433453754858653	0.608768728667742	1.83816672286271	enriched	108	38	268058.018518519	2902, 429, 1600, 5079, 4747, 8851, 63950, 478, 1499, 2932, 3362, 5454, 5649, 5802, 7101, 8941, 26047, 54407, 79648, 1000, 3014, 4040, 5663, 6091, 6434, 6867, 7248, 7531, 9289, 9355, 23028, 23236, 25777, 57142, 83696, 84750, 200933, 284403
Gene Ontology Biological Process	GO:0010243	response to organonitrogen compound	0.00437329712727829	0.0433881536146705	0.252766263267833	1.28758228638372	enriched	804	260	156625.324626866	1268, 2889, 2902, 114, 429, 1788, 5295, 10580, 22861, 1392, 1812, 2903, 3709, 4208, 4747, 5770, 6662, 6772, 7425, 57521, 57727, 64106, 610, 677, 801, 1026, 1394, 1499, 1813, 1906, 2554, 2562, 2566, 2741, 2788, 2932, 3184, 3191, 3329, 3625, 3726, 3746, 4644, 4724, 5138, 5144, 5315, 5530, 5579, 5580, 5728, 6261, 6263, 6430, 6546, 6547, 6654, 7009, 7128, 7430, 10021, 10257, 23175, 23235, 51052, 18, 107, 108, 135, 181, 301, 333, 468, 493, 523, 525, 526, 527, 535, 595, 634, 655, 688, 815, 836, 840, 988, 990, 1137, 1141, 1261, 1278, 1282, 1395, 1432, 1535, 1621, 1644, 1665, 1814, 1816, 1938, 1959, 1967, 1979, 2146, 2185, 2241, 2322, 2353, 2354, 2692, 2693, 2742, 2782, 2786, 2805, 2865, 2934, 3030, 3062, 3066, 3141, 3157, 3164, 3208, 3326, 3351, 3356, 3359, 3416, 3663, 3667, 3692, 3725, 3727, 3747, 3939, 4040, 4041, 4067, 4160, 4255, 4258, 4313, 4641, 4792, 4851, 4878, 4914, 4988, 5020, 5025, 5026, 5111, 5142, 5164, 5167, 5179, 5465, 5520, 5573, 5575, 5582, 5590, 5621, 5690, 5724, 5743, 5747, 5791, 5798, 5860, 5888, 6347, 6431, 6470, 6506, 6528, 6529, 6531, 6548, 6571, 6647, 6714, 6720, 6750, 6833, 6935, 7040, 7071, 7074, 7079, 7124, 7161, 7248, 7298, 7480, 7532, 7832, 8001, 8462, 8503, 8651, 8660, 8683, 8767, 8826, 8837, 8893, 8942, 9114, 9349, 9356, 9370, 9847, 9852, 9882, 9971, 10400, 10603, 10768, 10891, 10972, 11213, 22937, 23028, 23514, 50484, 51024, 51606, 54209, 54328, 54675, 55022, 55023, 55667, 55846, 56034, 57085, 57190, 58528, 64121, 65985, 80315, 83990, 84152, 84709, 85569, 87178, 114882, 116372, 130399, 132864, 155066, 286753, 338328, 348980, 376497, 389541
Gene Ontology Biological Process	GO:0006873	cellular ion homeostasis	0.00438749906110004	0.0434455041386087	0.294339229375357	1.34223915339515	enriched	580	168	146096.936206897	773, 2902, 491, 5336, 64072, 476, 1812, 1907, 2587, 3709, 3778, 7070, 56923, 57468, 57620, 728215, 116, 309, 478, 801, 1756, 1813, 1906, 2830, 2835, 2915, 4644, 5144, 5579, 6261, 6263, 6543, 6546, 6547, 7009, 7037, 8698, 8943, 9709, 10590, 25769, 25875, 51289, 57113, 79054, 79608, 79734, 91252, 117, 310, 356, 475, 483, 488, 493, 523, 525, 526, 527, 535, 578, 793, 1232, 1233, 1236, 1318, 1535, 1657, 1814, 1816, 2099, 2185, 2512, 2782, 2829, 2837, 2859, 2890, 2911, 3062, 3356, 3708, 3710, 3777, 4040, 4067, 4097, 4609, 4842, 4923, 5020, 5025, 5026, 5029, 5158, 5167, 5172, 5291, 5314, 5621, 5663, 5777, 5788, 6346, 6347, 6356, 6375, 6548, 6647, 6717, 7040, 7421, 7531, 7779, 7852, 8996, 9104, 9114, 9213, 9247, 9368, 9777, 10058, 10911, 23479, 23627, 25932, 27112, 51024, 51196, 51458, 51606, 51714, 53373, 54499, 54583, 54734, 55177, 55584, 55636, 55676, 55858, 56261, 57181, 57190, 57214, 57338, 57419, 58515, 59340, 64116, 65082, 79901, 90550, 91689, 115111, 121665, 148867, 150159, 155066, 282679, 283652, 284612, 285195, 286133, 344905, 375611, 389015
Gene Ontology Biological Process	GO:0060041	retina development in camera-type eye	0.00449953891875421	0.0442211606516924	0.549830387661609	1.73295906170001	enriched	137	48	195245.766423358	5818, 6662, 7070, 56853, 84440, 3975, 5458, 7101, 54549, 221322, 493, 659, 793, 1282, 1950, 2055, 2782, 3208, 3565, 4040, 4041, 4124, 5076, 5158, 5663, 5916, 5979, 6152, 6496, 6597, 7275, 8842, 9355, 25932, 30812, 30813, 51761, 54567, 54806, 55636, 56890, 57096, 57381, 58158, 112724, 121643, 256297, 348980
Gene Ontology Biological Process	GO:0044062	regulation of excretion	0.00450011811245173	0.0442211606516924	1.18451502206264	3.26910099509399	enriched	25	10	151063.24	1813, 1906, 135, 1814, 2837, 4868, 4879, 5020, 9368, 10911
Gene Ontology Biological Process	GO:0055080	cation homeostasis	0.00477737224453843	0.0463316762251954	0.279496648908633	1.32246398108988	enriched	637	182	147641.284144427	773, 2902, 491, 5336, 64072, 476, 1812, 1907, 2587, 3709, 3778, 7070, 56923, 57620, 728215, 116, 309, 478, 801, 1585, 1756, 1813, 1906, 2830, 2835, 2915, 4644, 5144, 5579, 6261, 6263, 6543, 6546, 6547, 7009, 7037, 8698, 8943, 9709, 10590, 25769, 25875, 51289, 57113, 66002, 79054, 79608, 79734, 91252, 114781, 117, 135, 310, 356, 475, 483, 488, 493, 523, 525, 526, 527, 535, 567, 578, 793, 1232, 1233, 1236, 1318, 1535, 1657, 1814, 1816, 2034, 2099, 2185, 2512, 2782, 2829, 2837, 2859, 2890, 2911, 3062, 3356, 3708, 3710, 3736, 3757, 3777, 4040, 4067, 4097, 4159, 4609, 4756, 4842, 4879, 4923, 5020, 5025, 5026, 5158, 5164, 5172, 5291, 5314, 5621, 5663, 5777, 5788, 6337, 6338, 6340, 6346, 6347, 6356, 6375, 6548, 6647, 6717, 7040, 7421, 7531, 7779, 7852, 8529, 8996, 9104, 9114, 9247, 9777, 10058, 10911, 23479, 23627, 25932, 27112, 51024, 51196, 51458, 51606, 51714, 53373, 54499, 54583, 54734, 54805, 55177, 55240, 55584, 55636, 55676, 55858, 57003, 57181, 57190, 57214, 57338, 57419, 58515, 59340, 64116, 65082, 79901, 90550, 91689, 115111, 121665, 148867, 150159, 150684, 155066, 282679, 283652, 284612, 285195, 286133, 344905, 375611, 389015
Gene Ontology Biological Process	GO:0045666	positive regulation of neuron differentiation	0.00486619129080133	0.0470125109910938	0.36723830943124	1.44374193544187	enriched	315	111	275308.155555556	1268, 1620, 2889, 11075, 429, 1600, 1946, 127833, 1002, 3084, 4208, 4747, 4780, 4897, 9699, 22999, 23025, 23242, 84298, 116, 2932, 4761, 4916, 5458, 5649, 9423, 22954, 23081, 23129, 23316, 23654, 57611, 124925, 402117, 152, 322, 396, 466, 627, 650, 655, 659, 1270, 1272, 1482, 1809, 2011, 2146, 2185, 2332, 3897, 4067, 4076, 4131, 4690, 4803, 4914, 5365, 5597, 5663, 5789, 5979, 6091, 6092, 6474, 6498, 6860, 6925, 6929, 6935, 7074, 7077, 7473, 8482, 8507, 8766, 8826, 8837, 9043, 9139, 9682, 9798, 9820, 9863, 10154, 10507, 22902, 23028, 23064, 23373, 23394, 23531, 23613, 26259, 29882, 50674, 50944, 51761, 55714, 57498, 57795, 65009, 79594, 79625, 79727, 81532, 114798, 151835, 221938, 389658, 440730
Gene Ontology Biological Process	GO:0051058	negative regulation of small GTPase mediated signal transduction	0.00493301048857901	0.0473037195363924	0.897756708920869	2.45409168961217	enriched	44	9	241641.136363636	2889, 10253, 64411, 50861, 4653, 7077, 9912, 10252, 440730
Gene Ontology Biological Process	GO:0030801	positive regulation of cyclic nucleotide metabolic process	0.00497631174099602	0.0476135176789071	0.616259226667769	1.85198720354609	enriched	107	35	146068.710280374	114, 1392, 1812, 116, 801, 1113, 1394, 2774, 2977, 5744, 107, 108, 117, 135, 1816, 2692, 3208, 3973, 4157, 4159, 4160, 4842, 4843, 4846, 5739, 5894, 6019, 7077, 7349, 7432, 10266, 10399, 10900, 23394, 122876
Gene Ontology Biological Process	GO:0019693	ribose phosphate metabolic process	0.00509506808947046	0.0484971517962696	0.304570977720218	1.35604310548705	enriched	542	154	133125.568265683	114, 150, 491, 272, 863, 1392, 1812, 2587, 5143, 5214, 6095, 10243, 54205, 54541, 65220, 116, 801, 1113, 1394, 1740, 1813, 1906, 2771, 2774, 2977, 4698, 4724, 5138, 5144, 5315, 5634, 5744, 7114, 7386, 9759, 23746, 51000, 107, 108, 117, 132, 135, 204, 205, 333, 498, 509, 514, 523, 525, 526, 535, 637, 669, 1329, 1345, 1351, 1503, 1814, 1816, 2023, 2185, 2550, 2597, 2692, 2912, 2913, 2917, 2918, 2986, 3208, 3351, 3354, 3356, 3692, 3939, 3973, 4157, 4159, 4160, 4436, 4697, 4718, 4726, 4731, 4830, 4842, 4843, 4846, 4878, 4879, 4967, 4988, 5141, 5142, 5151, 5158, 5167, 5208, 5209, 5230, 5465, 5571, 5598, 5739, 5894, 6019, 6392, 7040, 7057, 7077, 7086, 7349, 7432, 9377, 9551, 9563, 9568, 9583, 10165, 10266, 10399, 10632, 10891, 10900, 10975, 11163, 11165, 11315, 23394, 23513, 25830, 27031, 27089, 27115, 27304, 51079, 51103, 51422, 51548, 54583, 55022, 55753, 64087, 64802, 79718, 79736, 90480, 93974, 122876, 151531, 163747, 165140, 374291
Gene Ontology Biological Process	GO:0050860	negative regulation of T cell receptor signaling pathway	0.00512859104708209	0.0486342207265469	1.3749660865748	3.95494259499634	enriched	18	9	94035.8333333333	7070, 5795, 7430, 53347, 56940, 634, 5621, 5777, 11006
Gene Ontology Biological Process	GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	0.00515739352275373	0.0487307567470448	0.530576570777783	1.69991214578673	enriched	155	45	395698.696774194	11122, 64405, 1012, 5100, 64072, 1002, 5818, 253559, 1004, 1006, 1951, 2995, 22997, 23654, 54549, 57453, 64084, 120114, 634, 1000, 1014, 1015, 1016, 5097, 5099, 5291, 5365, 5979, 6091, 6092, 23705, 29930, 54798, 55714, 56105, 56106, 56111, 57549, 57863, 64403, 64881, 65217, 84623, 92211, 222256
Gene Ontology Biological Process	GO:0048284	organelle fusion	0.00517789492114231	0.0487693741143349	0.466060385538294	1.5937032330705	enriched	206	59	128039.699029126	22895, 127833, 161514, 6504, 6616, 9066, 10451, 23329, 25771, 129049, 148281, 203062, 255928, 301, 578, 662, 2901, 3799, 6843, 6860, 6861, 8291, 8615, 8675, 8676, 9570, 9779, 9847, 9882, 9910, 10228, 10241, 10652, 11345, 23102, 23216, 23355, 23637, 26984, 29979, 51024, 54332, 54734, 54927, 55014, 55022, 55357, 56947, 57586, 57724, 64145, 65082, 79594, 80208, 84749, 114088, 115209, 143425, 201164
Gene Ontology Biological Process	GO:0021695	cerebellar cortex development	0.00518038709336219	0.0487693741143349	0.906708757224678	2.47615946548309	enriched	45	15	210616.866666667	491, 23544, 869, 6095, 3975, 4761, 64211, 124925, 473, 2146, 4967, 5992, 7476, 8925, 27089
Gene Ontology Biological Process	GO:0003407	neural retina development	0.00532079422111448	0.0496382954552072	0.798996422915257	2.2233085469863	enriched	56	22	262221.857142857	6662, 7070, 84440, 3975, 5458, 54549, 493, 793, 5663, 6496, 6597, 8842, 30812, 30813, 51761, 54567, 54806, 58158, 112724, 121643, 256297, 348980
Gene Ontology Biological Process	GO:0006584	catecholamine metabolic process	0.00536867736112815	0.0498147599029858	0.843556342671215	2.32461943709339	enriched	51	18	228975.980392157	1812, 2903, 1813, 9627, 18, 1141, 1610, 1621, 1644, 1814, 2034, 2625, 3350, 4128, 6531, 11315, 26002, 340595
Gene Ontology Biological Process	GO:0009712	catechol-containing compound metabolic process	0.00536867736112815	0.0498147599029858	0.843556342671215	2.32461943709339	enriched	51	18	228975.980392157	1812, 2903, 1813, 9627, 18, 1141, 1610, 1621, 1644, 1814, 2034, 2625, 3350, 4128, 6531, 11315, 26002, 340595
Gene Ontology Biological Process	GO:0021680	cerebellar Purkinje cell layer development	0.00542438534989225	0.0501512616847565	1.17452460244593	3.23660390445948	enriched	25	9	192880.32	491, 23544, 6095, 3975, 64211, 124925, 473, 8925, 27089
Gene Ontology Biological Process	GO:0010959	regulation of metal ion transport	0.00547830171166323	0.0504688545186975	0.371977817154256	1.45060080248241	enriched	320	104	182694.2375	774, 150, 491, 5336, 476, 1392, 1804, 1812, 2257, 3603, 7070, 30820, 57620, 80333, 116, 785, 801, 1394, 1499, 1756, 1813, 2259, 2771, 3746, 3788, 4644, 5144, 5155, 5987, 6546, 7009, 79570, 81, 117, 135, 468, 483, 493, 567, 578, 776, 783, 815, 1272, 1318, 1482, 1535, 1814, 1950, 2185, 2332, 2859, 3356, 3747, 3757, 3781, 3799, 4067, 4638, 4842, 4846, 4878, 4923, 5025, 5026, 5142, 5621, 5743, 5774, 5777, 6347, 6375, 6548, 6717, 6769, 6833, 7040, 7349, 7531, 7779, 7871, 8514, 9104, 9368, 10768, 11060, 29979, 30818, 30819, 30845, 54800, 55636, 55800, 57190, 57214, 57338, 57628, 57731, 79026, 81832, 84766, 150094, 150684, 154215
Gene Ontology Biological Process	GO:0007210	serotonin receptor signaling pathway	0.00560099494726408	0.051052178326741	1.14212960014273	3.13343422683364	enriched	26	12	246392.461538462	3362, 3363, 3350, 3351, 3354, 3355, 3356, 3359, 3360, 3361, 26538, 126541
Gene Ontology Biological Process	GO:0098664	G-protein coupled serotonin receptor signaling pathway	0.00560099494726408	0.051052178326741	1.14212960014273	3.13343422683364	enriched	26	12	246392.461538462	3362, 3363, 3350, 3351, 3354, 3355, 3356, 3359, 3360, 3361, 26538, 126541
Gene Ontology Biological Process	GO:0050982	detection of mechanical stimulus	0.00561406979397067	0.0510811041747702	0.902725646743761	2.46631626505477	enriched	43	15	208303.860465116	40, 491, 63895, 125336, 3356, 3736, 4914, 6323, 9033, 9311, 9780, 55584, 114780, 168507, 222662
Gene Ontology Biological Process	GO:0095500	acetylcholine receptor signaling pathway	0.0056687114921663	0.0512169572470857	1.21977125250512	3.38641301152381	enriched	22	11	213561.136363636	8851, 1132, 2771, 1129, 1137, 1141, 2782, 6001, 23236, 85397, 116372
Gene Ontology Biological Process	GO:1903831	signal transduction involved in cellular response to ammonium ion	0.0056687114921663	0.0512169572470857	1.21977125250512	3.38641301152381	enriched	22	11	213561.136363636	8851, 1132, 2771, 1129, 1137, 1141, 2782, 6001, 23236, 85397, 116372
Gene Ontology Biological Process	GO:1905144	response to acetylcholine	0.0056687114921663	0.0512169572470857	1.21977125250512	3.38641301152381	enriched	22	11	213561.136363636	8851, 1132, 2771, 1129, 1137, 1141, 2782, 6001, 23236, 85397, 116372
Gene Ontology Biological Process	GO:1905145	cellular response to acetylcholine	0.0056687114921663	0.0512169572470857	1.21977125250512	3.38641301152381	enriched	22	11	213561.136363636	8851, 1132, 2771, 1129, 1137, 1141, 2782, 6001, 23236, 85397, 116372
